Artist,Times Played,Artist - Song,Times Played
ROSALÍA,6,NINA CHUBA - FLIEGEN,3
ILLUMINATI HOTTIES,6,OBONGJAYAR - JUST COOL,3
CLUESO,6,SZA - SATURN,3
SYLVAN ESSO,6,LORDE - WHAT WAS THAT?,3
BANKS FEAT. SAMPHA,6,MØ - KEEP MØVING,3
KATE KLEIN,6,THE LATHUMS - STELLAR CAST,3
JULIE KUHL,6,GIRL ULTRA FEAT. CHROMEO & EMPRESS OF - TOMÁS,3
JULI,6,GOOD NEIGHBOURS - BLOOM,3
TOM MISCH,6,TWO DOOR CINEMA CLUB - WHAT YOU KNOW,3
BANKS FEAT. YSEULT,6,MATT CORBY - VITAMIN,3
TRÄNEN,6,ANAÏS - STEPHEN KING,3
DOECHII,6,ORLA GARTLAND - BACKSEAT DRIVER,3
KENDRICK LAMAR,6,BIG O & BEATAMIN C - MANN WIE DU,3
DRANGSAL,6,LEONIDEN - NEVER NEVER,3
BEACH BUNNY,6,"HINDS - HI, HOW ARE YOU",3
LOYLE CARNER,6,GIRL IN RED - DOING IT AGAIN BABY,3
COSBY,6,SOFT LAUNCH - CARTWHEELS,3
KYTES,6,BASTILLE - OF THE NIGHT,3
BANKS,6,BILDERBUCH - WILLKOMMEN IM DSCHUNGEL,3
COURTING,5,PETIT BISCUIT - BURNIN,3
AITCH X ANNE-MARIE,5,WOODKID - I LOVE YOU,3
C'EST KARMA,5,MØ FEAT. BIIG PIIG - SWEET,3
GENESIS OWUSU,5,THE STREETS - TROUBLED WATERS,3
INTERPOL,5,PIXEY - OXYGEN,3
MATT CORBY,5,FRED AGAIN.. X THE STREETS X DERMOT KENNEDY - MIKE - DESERT ISLAND DUVET,3
POM POM SQUAD,5,WILHELMINE - VERGLEICHE,3
NNEKA,5,ROSALÍA - TUYA,3
DJANGO DJANGO,5,DOPE LEMON - ELECTRIC GREEN LAMBO,3
FEIST,5,TEMPLES - GAMMA RAYS,3
SOFT LAUNCH,5,BLOND - SO HOT,3
STILL WOOZY,5,WIZKID - NO STRESS,3
IDER,5,BBNO$ - LIL' FREAK,3
MAX RAD,5,TOM MISCH - CINNAMON CURLS,3
ALFIE TEMPLEMAN FEAT. NILE RODGERS,5,"NOGA EREZ FEAT. FLYANA BOSS - SAD GENERATION, HAPPY PICTURES",3
TKAY MAIDZA,5,JOSEPH - NERVOUS SYSTEM,3
WE ARE SCIENTISTS,5,JOLLE - ZU NICE,3
WOODKID,5,WUNDERHORSE - THE ROPE,3
AB SYNDROM FEAT. TRILLE,5,MINE FEAT. MAULI - DANKE GUT,3
WIR SIND HELDEN,5,CLAIRO - SEXY TO SOMEONE,3
BLACK HONEY,5,CLAIRO - ADD UP MY LOVE,3
SURFACES,5,CARIBOU - SUN,3
PAULA HARTMANN X TRETTMANN,5,JUNGLE FEAT. ERICK THE ARCHITECT - CANDLE FLAME,3
PIP BLOM,5,BEN PEARCE - WHAT I MIGHT DO,3
PARAMORE,5,PROVINZ FEAT. $OHO BANI - DRAUSSEN IST KRIEG,3
ORLA GARTLAND FEAT. DECLAN MCKENNA,5,KAYTRAMINÉ FEAT. PHARRELL WILLIAMS - 4EVA,3
THE NOTWIST,5,MURA MASA - DRUGS,3
MONTAIGNE,5,ENNIO - UNIVERSUMSGEDANKEN,3
BLUMENGARTEN,5,THE KILLS - FUTURE STARTS SLOW,3
ARCADE FIRE,5,CHANNEL TRES - ALL MY FRIENDS,3
APSILON X PAULA HARTMANN,5,DJANGO DJANGO FEAT. SELF ESTEEM - COMPLETE ME,3
BEIRUT,5,YUNGBLUD - LOWLIFE,3
DAS PARADIES,5,FKA TWIGS - PERFECT STRANGER,3
ST. VINCENT,5,CRUCCHI GANG X DILLA - FILOSOFO,3
CARIBOU,5,TAYLOR SWIFT FEAT. KENDRICK LAMAR - BAD BLOOD,3
SANTIGOLD,5,SG LEWIS - INFATUATION,3
ENNIO,5,MOLA FEAT. FATONI - MENSCHEN,3
MARTERIA,5,PAULA HARTMANN X SYMBA - ULUDAG UND SORGEN,3
THE LINDA LINDAS,5,RAZORLIGHT - WIRE TO WIRE,2
YUNGBLUD,5,RAZORLIGHT - AMERICA,2
CIGARETTES AFTER SEX,5,RAZORLIGHT - IN THE MORNING,2
WILLOW,5,BENEE - ANIMAL,2
GRIMES,4,BENEE - GREEN HONDA,2
OBONGJAYAR,4,SHAY LIA - ON THE LOW,2
NELLY FURTADO,4,JORDAN RAKEI & STUTS - CELEBRATE,2
DOLORES FOREVER,4,DILLA - FÜHRERSCHEIN,2
JORJA SMITH,4,LOLA YOUNG - WISH YOU WERE DEAD,2
VAMPIRE WEEKEND,4,COURTING - THROW,2
SNOW PATROL,4,ROOSEVELT - PARALYZED,2
CAGE THE ELEPHANT,4,ROOSEVELT - HOLD ON,2
NEON TREES,4,ROOSEVELT - LUNA,2
SPILL TAB,4,OSCAR AND THE WOLF - ANGEL FACE,2
MOBY,4,UPSAHL - WET WHITE TEE SHIRT,2
SPRINTS,4,UPSAHL - GOOD GIRL ERA,2
BAKAR,4,UPSAHL - NO HANDS,2
RAVYN LENAE,4,KAE TEMPEST - LONELY DAZE,2
D4VD,4,TOCOTRONIC - PURE VERNUNFT DARF NIEMALS SIEGEN,2
PANIC! AT THE DISCO,4,WARHAUS - WHERE THE NAMES ARE REAL,2
JAMES BLAKE,4,WOLF ALICE - MOANING LISA SMILE,2
DENDEMANN,4,C'EST KARMA - STREET SIGNS,2
