Artist,Times Played,Artist - Song,Times Played
TOBY ROMEO X YOUNOTUS,9,GEORGE EZRA - ANYONE FOR YOU,7
SUPER-HI X NEEKA,9,MICHAEL SCHULTE X R3HAB - WATERFALL,7
SUNRISE AVENUE,9,REA GARVEY X PICTURE THIS - SOMEWHERE CLOSE TO HEAVEN,7
WHITNEY HOUSTON,9,RAY DALTON - DO IT AGAIN,7
EMELI SANDÉ,9,SZA & JUSTIN TIMBERLAKE - THE OTHER SIDE,7
RITA ORA,9,SURF MESA FEAT. EMILEE - ILY (I LOVE YOU BABY),7
JOHN LEGEND,9,THE CALLING - WHEREVER YOU WILL GO,7
REGARD & RAYE,9,LAURELL - HABIT,7
KINGS OF LEON,9,LEONY - SOMEWHERE IN BETWEEN,6
LORDE,9,LENA - WHAT I WANT,6
DEPECHE MODE,9,REA GARVEY - FREE LIKE THE OCEAN,6
BRYAN ADAMS,9,ZOE WEES - TRAITOR,6
3 DOORS DOWN,9,PURPLE DISCO MACHINE X THE MAGICIAN - ALL MY LIFE,6
DENNIS LLOYD,9,MICHAEL PATRICK KELLY - THE ONE,6
BON JOVI,9,AVA MAX - KINGS & QUEENS,6
JC STEWART,8,MILKY CHANCE - LIVING IN A HAZE,6
JAX JONES & CALUM SCOTT,8,ALIZÉE - MOI... LOLITA,6
ALANIS MORISSETTE,8,JUSTIN TIMBERLAKE - MIRRORS,6
BASTILLE,8,ISAAK - ALWAYS ON THE RUN,6
DAVINA MICHELLE,8,IL CIVETTO & DELLÉ - ALLES WAS ICH HAB,6
HERBERT GRÖNEMEYER,8,ZAZ - JE VEUX,6
JUSTIN WELLINGTON FEAT. SMALL JAM,8,PASCAL LETOUBLON FEAT. LEONY - FRIENDSHIPS (LOST MY LOVE),6
COLDPLAY X BTS,8,RUFUS AND CHAKA KHAN - AIN'T NOBODY,6
BRUCE SPRINGSTEEN,8,BTS - BUTTER,6
HUGEL X TOPIC X ARASH FEAT. DAECOLM,8,ALICIA KEYS - UNDERDOG,6
TIM BENDZKO,8,THUNDER JACKSON - STEADY FREDDY,6
SONIQUE,8,THUNDER JACKSON - THE FEVER & THE DREAM,6
SPORTFREUNDE STILLER,8,RITA ORA - YOU ONLY LOVE ME,6
SAM SMITH,8,TIËSTO & TATE MCRAE - 10:35,6
TRAIN,8,KATE RYAN - DÉSENCHANTÉE,6
KEANE,8,PORTUGAL. THE MAN - FEEL IT STILL,6
ÁLVARO SOLER,8,CALUM SCOTT - RISE,6
IMAGINE DRAGONS X J.I.D,8,NATHAN EVANS - WELLERMAN,6
ALEX WARREN WITH JELLY ROLL,8,UDO LINDENBERG & APACHE 207 - KOMET,6
ELTON JOHN & BRITNEY SPEARS,8,JAYMES YOUNG - INFINITY,6
DAVID GUETTA X ALPHAVILLE X AVA MAX,8,DENNIS LLOYD - ALIEN,6
MABEL,8,OLIVIA RODRIGO - DRIVER’S LICENSE,6
SHAKIRA,8,TATE MCRAE - YOU BROKE ME FIRST,5
DIE FANTASTISCHEN VIER,8,LEONY - HOLDING ON,5
FELIX JAEHN & SHOUSE,8,SOPHIE ELLIS-BEXTOR - MURDER ON THE DANCEFLOOR,5
JAX JONES X ZOE WEES,8,AMY MACDONALD - THIS IS THE LIFE,5
A-HA,7,NICO SANTOS - NUMBER 1,5
THE KID LAROI & JUSTIN BIEBER,7,WIR SIND HELDEN - NUR EIN WORT,5
TRAVIS,7,AMY WINEHOUSE - REHAB,5
FOO FIGHTERS,7,JULIA MICHAELS - ISSUES,5
LOST FREQUENCIES X ELLEY DUHÉ X X AMBASSADORS,7,TOM GREGORY - RIVER,5
OLLY MURS,7,ALANIS MORISSETTE - GUARDIAN,5
JACK JOHNSON,7,NICKY YOURE X DAZY - SUNROOF,5
REA GARVEY X PICTURE THIS,7,AVA MAX - MY HEAD & MY HEART,5
NORAH JONES,7,LADY ANTEBELLUM - NEED YOU NOW,5
REVOLVERHELD,7,DAVID GUETTA & BECKY HILL & ELLA HENDERSON - CRAZY WHAT LOVE CAN DO,5
QUEEN,7,STROMAE - PAPAOUTAI,5
SZA & JUSTIN TIMBERLAKE,7,THE KILLERS - READ MY MIND,5
DIE TOTEN HOSEN,7,THE KILLERS - HUMAN,5
TOVE LO,7,KELLY CLARKSON - MR. KNOW IT ALL,5
KELVIN JONES,7,MARY J. BLIGE - FAMILY AFFAIR,5
SURF MESA FEAT. EMILEE,7,JENNIFER LOPEZ - LET'S GET LOUD,5
CALVIN HARRIS,7,ELVIS PRESLEY VS. JXL - A LITTLE LESS CONVERSATION,5
ANNE-MARIE,7,BRUCE SPRINGSTEEN - RADIO NOWHERE,5
ALOE BLACC,7,PURPLE DISCO MACHINE X KUNGS - SUBSTITUTION,5
ROXETTE,7,COLDPLAY - HIGHER POWER,5
GOSSIP,7,WINCENT WEISS & JOHANNES OERDING - DIE GUTEN ZEITEN,5
DANIEL MERRIWEATHER,7,DUA LIPA - ILLUSION,5
TEXAS,7,ALLE FARBEN X LEWIS THOMPSON FEAT. MAE MULLER - LOVE HURT REPEAT,5
THE CALLING,7,KYGO X IMAGINE DRAGONS - STARS WILL ALIGN,5
BEBE REXHA,7,ROBIN SCHULZ FEAT. KIDDO - ALL WE GOT,5
JESSIE J,7,CRAZY TOWN - BUTTERFLY,5
LAURELL,7,SONIQUE - SKY,5
MIKA,7,TOM GRENNAN - LITTLE BIT OF LOVE,5
EMPIRE OF THE SUN,7,PLAN B - SHE SAID,5
ARIANA GRANDE,6,SAM SMITH - DIAMONDS,5
PURPLE DISCO MACHINE X THE MAGICIAN,6,SNOW PATROL - RUN,5
ALIZÉE,6,MAÎTRE GIMS - EST-CE QUE TU M'AIMES?,5
OASIS,6,MICHAEL SCHULTE X R3HAB - BETTER ME,5
MYLES SMITH,6,IMAGINE DRAGONS - RADIOACTIVE,5
KT TUNSTALL,6,IMAGINE DRAGONS - THUNDER,5
CARLY RAE JEPSEN,6,EMELI SANDÉ - NEXT TO ME,5
ROB THOMAS,6,RAY DALTON - THE BEST IS YET TO COME,5
IL CIVETTO & DELLÉ,6,JAMELIA - SUPERSTAR,5
PASCAL LETOUBLON FEAT. LEONY,6,JOHN LEGEND - LOVE ME NOW,5
JULI,6,MORGAN WALLEN & POST MALONE - I HAD SOME HELP,5
RUFUS AND CHAKA KHAN,6,METRO BOOMIN & THE WEEKND & 21 SAVAGE - CREEPIN',5
MOLOKO,6,LENKA - EVERYTHING AT ONCE,5
NO DOUBT,6,SHEPPARD - GERONIMO,5
VAN HALEN,6,MARIT LARSEN - IF A SONG COULD GET ME YOU,5
KERI HILSON,6,KALEO - WAY DOWN WE GO,5
AURA DIONE,6,THE DISCO BOYS FEAT. MANFRED MANN'S EARTH BAND - FOR YOU,5
KALEO,6,KINGS OF LEON - SEX ON FIRE,5
TIËSTO & TATE MCRAE,6,JOEL CORRY FEAT. MNEK - HEAD & HEART,5
DESTINY'S CHILD,6,LEVKA - ICH BRAUCHE DICH,5
KATE RYAN,6,LORDE - TEAM,5
