Artist,Times Played,Artist - Song,Times Played
ALL SAINTS,7,TOBY ROMEO & LEONY - CRAZY LOVE,5
DOECHII,7,MAROON 5 X LISA - PRICELESS,5
P!NK,7,MANDO DIAO - DANCE WITH SOMEBODY,5
ISAAK,7,DISCO BOYS - FOR YOU,5
NIK KERSHAW,7,SELENA GOMEZ / BENNY BLANCO / GRACIE ABRAMS - CALL ME WHEN YOU BREAK UP,5
TRAIN,7,TATE MCRAE - GREEDY,5
OLLY MURS,7,PURPLE DISCO MACHINE X KUNGS - SUBSTITUTION,5
BRYAN ADAMS,7,AXWELL INGROSSO - MORE THAN YOU KNOW,5
LEONY & G EAZY,7,ALLE FARBEN FEAT. POLLYANNA - LET IT RAIN DOWN,5
JOHANNES OERDING,7,IMAGINE DRAGONS - BAD LIAR,5
CALVIN HARRIS X RAG'N'BONE MAN,7,SIA - CHANDELIER,5
SHANIA TWAIN,7,RAVYN LENAE - LOVE ME NOT,5
ELLIE GOULDING,7,DAVID BOWIE & QUEEN - UNDER PRESSURE,5
GREEN DAY,6,LADY GAGA & BRUNO MARS - DIE WITH A SMILE,5
DIE ÄRZTE,6,GEORGE EZRA - ANYONE FOR YOU,5
WESTLIFE,6,OFENBACH FEAT. NORMA JEAN MARTINE - OVERDRIVE,5
ROSA LINN,6,KALEO - WAY DOWN WE GO,4
NAUGHTY BOY FEAT. SAM SMITH,6,IGGI KELLY - HEARD IT ALL,4
TAIO CRUZ,6, - EG25  SFX  ANTWORT FALSCH MÖP!,4
PURPLE DISCO MACHINE X ASDIS,6,KATY PERRY - I KISSED A GIRL,4
GLOCKENBACH X TOM WALKER,6,KATY PERRY - ROAR,4
YOUNOTUS FEAT. LAURELL,6,QUEEN - A KIND OF MAGIC,4
SPICE GIRLS,6,VANESSA CARLTON - A THOUSAND MILES,4
RAF FAST BOY,6,CLOCKCLOCK - OVER,4
JANET JACKSON,6,"COLDPLAY FEAT. BURNA BOY, ELYANNA LITTLE SIMZ & TINI - WE PRAY",4
GENESIS,6,AVA MAX - MILLION DOLLAR BABY,4
KWABS,6,FREYA RIDINGS - CASTLES,4
BASTILLE,6,AVICII - HEY BROTHER,4
JULI,6,TAYLOR SWIFT - SHAKE IT OFF,4
ACE OF BASE,6,NICO SANTOS - WOULD I LIE TO YOU,4
MALIK HARRIS,6,JAMES BLUNT - 1973,4
ANDREAS BOURANI,6,DUA LIPA - BE THE ONE,4
VELLA,6,DUA LIPA - LOVE AGAIN,4
COLDPLAY X BTS,6,DUA LIPA - DANCE THE NIGHT,4
CHRISTINA AGUILERA,6,MR. PRESIDENT - COCO JAMBOO,4
AMY WINEHOUSE,6,ROBBIE WILLIAMS - LOVE MY LIFE,4
KALEO,5,ALIZEE - MOI... LOLITA,4
ALLE FARBEN & MAJESTIC,5,ROBIN SCHULZ X DENNIS LLOYD - YOUNG RIGHT NOW,4
FREYA RIDINGS,5,ADELE - HELLO,4
NO DOUBT,5,HERBERT GRÖNEMEYER - MENSCH,4
CYNDI LAUPER,5,LUVCAT - LOVE & MONEY,4
OASIS,5,R.E.M. - MAN ON THE MOON,4
SEAL,5,LOST FREQUENCIES - THE FEELING,4
JUSTIN WELLINGTON FEAT. SMALL JAM,5,U2 - BEAUTIFUL DAY,4
ALPHAVILLE DAVID GUETTA & AVA MAX,5,GOTYE FEAT. KIMBRA - SOMEBODY THAT I USED TO KNOW,4
TOBY ROMEO & LEONY,5,ALVARO SOLER - TE IMAGINABA,4
JONAS BROTHERS,5,VANESSA AMOROSI - ABSOLUTELY EVERYBODY,4
MOBY,5,TAIO CRUZ - BREAK YOUR HEART,4
MAROON 5 X LISA,5,"CHAPPELL ROAN - GOOD LUCK, BABE!",4
DIE FANTASTISCHEN VIER,5,APACHE 207 - MORGEN,4
MANDO DIAO,5,DIE FANTASTISCHEN VIER - DIE DA,4
DISCO BOYS,5,THE WEATHER GIRLS - IT'S RAINING MEN,4
SELENA GOMEZ / BENNY BLANCO / GRACIE ABRAMS,5,MAXI PRIEST - CLOSE TO YOU,4
WIR SIND HELDEN,5,COLDPLAY - FEELSLIKEIMFALLINGINLOVE,4
COLBIE CAILLAT,5,DUFFY - MERCY,4
PURPLE DISCO MACHINE X KUNGS,5,MAX GIESINGER - 80 MILLIONEN,4
AXWELL INGROSSO,5,P!NK - RUNAWAY,4
DR. ALBAN,5,COLBIE CAILLAT - BUBBLY,4
ABOR & TYNNA,5,OPM - HEAVEN IS A HALFPIPE,4
KERI HILSON,5,"ONEREPUBLIC, LEONY MEDUZA - FIRE",4
ALLE FARBEN FEAT. POLLYANNA,5,TOM GRENNAN - LITTLE BIT OF LOVE,4
RAVYN LENAE,5,ABOR & TYNNA - PARALLELE LINIEN,4
LILY ALLEN,5,KERI HILSON - I LIKE,4
FLEETWOOD MAC,5,THE BOSSHOSS & THE COMMON LINNETS - JOLENE,4
DERMOT KENNEDY,5,NIK KERSHAW - I WON'T LET THE SUN GO DOWN,4
DAVID BOWIE & QUEEN,5,CASSANDRA STEEN &  ADEL TAWIL - STADT,4
BRITNEY SPEARS,5,TRAIN - DRIVE BY,4
CAMOUFLAGE,5,IMAGINE DRAGONS - RADIOACTIVE,4
ATOMIC KITTEN,5,ARTEMAS - I LIKE THE WAY YOU KISS ME,4
LADY GAGA & BRUNO MARS,5,MARK FORSTER - ÜBERMORGEN,4
RED HOT CHILI PEPPERS,5,TOM GREGORY X VIZE - MAKE IT RIGHT,4
STEFANIE HEINZMANN,5,OLLY MURS - DEAR DARLIN',4
