Artist,Times Played,Artist - Song,Times Played
TAIO CRUZ,9,AVICII - WAITING FOR LOVE,6
ÄRZTE,8,REAL LIFE - SEND ME AN ANGEL,6
BASTILLE,8,NICKY JAM FEAT. ENRIQUE IGLESI - EL PERDÓN,6
PET SHOP BOYS,8,RAG'N'BONE MAN - HUMAN,6
RAG'N'BONE MAN,8,STATUS QUO - IN THE ARMY NOW,6
ALPHAVILLE,8,PURPLE DISCO MACHINE X KUNGS - SUBSTITUTION,6
OMI,8,"FAST BOY, RAF - WAVE",6
GLOCKENBACH X ELLA HENDERSON,7,NICO & VINZ - AM I WRONG,6
DEPECHE MODE,7,ONE REPUBLIC - LOVE RUNS OUT,6
KELLY CLARKSON,7,ALESSIA CARA - SCARS TO YOUR BEAUTIFUL,6
NATASHA BEDINGFIELD,7,CALVIN HARRIS X RAG'N'BONE MAN - LOVERS IN A PAST LIFE,6
FELIX JAEHN & RAY DALTON,7,JAMES BAY - LET IT GO,6
CLEAN BANDIT,7,CHER - IF I COULD TURN BACK TIME,5
GEORGE EZRA,7,EAGLE-EYE CHERRY - SAVE TONIGHT,5
TLC,7,RAY DALTON  X ALVARO SOLER - MANILA,5
TALK TALK,7,DEPECHE MODE - ENJOY THE SILENCE,5
CYNDI LAUPER,7,CLOCKCLOCK - LOVE U AGAIN,5
GLOCKENBACH FEAT. ÁSDÍS,7,CLOCKCLOCK - OVER,5
SAM FELDT FEAT. RANI,7,CLOCKCLOCK - SOMEONE ELSE,5
OFENBACH & ELLA HENDERSON,7,OASIS - DON'T LOOK BACK IN ANGER,5
ERIC PRYDZ,7,NATASHA BEDINGFIELD - UNWRITTEN,5
MICHAEL PATRICK KELLY X RAKIM,7,TAL BACHMAN - SHE'S SO HIGH,5
REGARD,7,ADELE - HELLO,5
SHAGGY,7,WHITESNAKE - HERE I GO AGAIN,5
KATE BUSH,7,KAMRAD - I HOPE YOU END UP ALONE (WITH ME),5
FALCO,7,ÄRZTE - WESTERLAND,5
PRINCE,6,BASTILLE - THINGS WE LOST IN THE FIRE,5
BOB MARLEY,6,NIK KERSHAW - I WON'T LET THE SUN GO DOWN ON ME,5
THE BLACK EYED PEAS,6,PHIL COLLINS - YOU'LL BE IN MY HEART,5
BRUCE SPRINGSTEEN,6,P!NK - RUNAWAY,5
LOUD LUXURY FEAT. BRANDO,6,P!NK - IRRELEVANT,5
JOEL CORRY FEAT. MNEK,6,P!NK - TRUSTFALL,5
BRUNO MARS,6,CUTTING CREW - DIED IN YOUR ARMS,5
NEK,6,QUEEN - FRIENDS WILL BE FRIENDS,5
KENNY LOGGINS,6,KLINGANDE - JUBEL,5
COLDPLAY FEAT. BTS,6,LISA STANSFIELD - ALL AROUND THE WORLD,5
RICKY MARTIN,6,MADONNA - MATERIAL GIRL,5
THE SCRIPT,6,NICKELBACK - WHAT ARE YOU WAITING FOR,5
ELTON JOHN,6,TAYLOR SWIFT - ANTI-HERO,5
MAROON 5,6,ROBIN SCHULZ & FELIX JAEHN FEA - ONE MORE TIME,5
STARSHIP,6,JAMES HYPE FEAT. KELLI-LEIGH - MORE THAN FRIENDS,5
MIKE OLDFIELD,6,MICHAEL JACKSON - WHO IS IT,5
MYLES SMITH,6,BILL MEDLEY FEAT. JENNIFER WAR - THE TIME OF MY LIFE,5
REAL LIFE,6,ROCKWELL - SOMEBODY'S WATCHING ME,5
NICKY JAM FEAT. ENRIQUE IGLESI,6,IMAGINE DRAGONS - ON TOP OF THE WORLD,5
LA BOUCHE,6,IMAGINE DRAGONS - WHATEVER IT TAKES,5
DR. ALBAN,6,ALLE FARBEN & ILIRA - FADING,5
STATUS QUO,6,ACE OF BASE - LIFE IS A FLOWER,5
UB 40,6,MR. PROBZ - WAVES,5
ANASTACIA,6,"MEDUZA, DERMOT KENNEDY - PARADISE",5
GREEN DAY,6,MIKE OLDFIELD - MOONLIGHT SHADOW,5
RED HOT CHILI PEPPERS,6,DON HENLEY - THE BOYS OF SUMMER,5
PURPLE DISCO MACHINE X KUNGS,6,KISS - I WAS MADE FOR LOVIN' YOU,5
SAVAGE GARDEN,6,MR. BIG - WILD WORLD,5
LENNY KRAVITZ,6,FELIX JAEHN FEAT. SANDRO CAVAZ - ALL FOR LOVE,5
"FAST BOY, RAF",6,UB 40 - KINGSTON TOWN,5
NICO & VINZ,6,CORONA - THE RHYTHM OF THE NIGHT,5
PITBULL,6,RAY PARKER JR. - GHOSTBUSTERS,5
ANDREAS BOURANI,6,AVICII FEAT. SANDRO CAVAZZA - WITHOUT YOU,5
EURYTHMICS,6,DURAN DURAN - ORDINARY WORLD,5
ALESSIA CARA,6,EUROPE - THE FINAL COUNTDOWN,5
CALVIN HARRIS X RAG'N'BONE MAN,6,LENNY KRAVITZ - FLY AWAY,5
JAMES BAY,6,KHALED - AICHA,5
THE WEEKND FEAT. DAFT PUNK,6,TAYLOR DAYNE - TELL IT TO MY HEART,5
SURVIVOR,6,CHRISTINA AGUILERA - GENIE IN A BOTTLE,5
EAGLE-EYE CHERRY,5,DNCE - CAKE BY THE OCEAN,5
RAY DALTON  X ALVARO SOLER,5,SONIQUE - SKY,5
FOREIGNER,5,ATC - AROUND THE WORLD,5
DARIO G,5,GLOCKENBACH X CHRIS DE SARANDY - MAGIC MOMENT,5
R.E.M.,5,BILLY JOEL - WE DIDN'T START THE FIRE,5
TAL BACHMAN,5,ALPHAVILLE - BIG IN JAPAN,5
TEARS FOR FEARS,5,LOREEN - EUPHORIA,5
WHITESNAKE,5,MADNESS - OUR HOUSE,5
AVRIL LAVIGNE,5,ROBIN SCHULZ X FAST BOY - MILLION GOOD REASONS,5
CUTTING CREW,5,YEARS & YEARS - KING,5
KLINGANDE,5,TWENTY ONE PILOTS - STRESSED OUT,5
LISA STANSFIELD,5,OMI - HULA HOOP,5
THE BANGLES,5,ROBIN SCHULZ & RITA ORA & TIAG - I'LL BE THERE,5
ROBIN SCHULZ & FELIX JAEHN FEA,5,LUIS FONSI FEAT. DADDY YANKEE - DESPACITO,5
STING,5,MARC COHN - WALKING IN MEMPHIS,4
JAMES HYPE FEAT. KELLI-LEIGH,5,FELIX JAEHN FEAT. ZOE WEES - DO IT BETTER,4
BILL MEDLEY FEAT. JENNIFER WAR,5,"LOTTE & MAX GIESINGER - AUF DAS, WAS DA NOCH KOMMT",4
ALANIS MORISSETTE,5,MATTHEW WILDER - BREAK MY STRIDE,4
ROCKWELL,5,CHER - THE SHOOP SHOOP SONG,4
ALLE FARBEN & ILIRA,5,BON JOVI - LIVIN' ON A PRAYER,4
MR. PROBZ,5,WEEZER - ISLAND IN THE SUN,4
"MEDUZA, DERMOT KENNEDY",5,SUNRISE AVENUE - FAIRYTALE GONE BAD,4
DON HENLEY,5,CLOCKCLOCK - SORRY,4
KISS,5,FOREIGNER - I WANT TO KNOW WHAT LOVE IS,4
USHER,5,R.E.M. - LOSING MY RELIGION,4
FELIX JAEHN FEAT. SANDRO CAVAZ,5,PEDRO CAPÓ & FARRUKO - CALMA (REMIX),4
CORONA,5,KENNY LOGGINS - FOOTLOOSE,4
RAY PARKER JR.,5,MILEY CYRUS - FLOWERS,4
AVICII FEAT. SANDRO CAVAZZA,5,TEARS FOR FEARS - EVERYBODY WANTS TO RULE THE WORLD,4
DURAN DURAN,5,ANNA NAKLAB FEAT. ALLE FARBEN  - SUPERGIRL,4
CULTURE CLUB,5,HERBERT GRÖNEMEYER - MUSIK NUR WENN SIE LAUT IST,4
EUROPE,5,ADELE - WATER UNDER THE BRIDGE,4
CAMOUFLAGE,5,EVERYTHING BUT THE GIRL - MISSING,4
KHALED,5,RICKY MARTIN - LIVIN' LA VIDA LOCA,4
TAYLOR DAYNE,5,LOI - GOLD,4
CHRISTINA AGUILERA,5,LOI - AM I ENOUGH,4
DNCE,5,KAMRAD - I BELIEVE,4
PINK FLOYD,5,NIK KERSHAW - THE RIDDLE,4
SONIQUE,5,KATY PERRY - ROAR,4
SASHA,5,BACKSTREET BOYS - QUIT PLAYING GAMES (WITH MY HEART),4
ATC,5,P!NK - WHAT ABOUT US,4
GLOCKENBACH X CHRIS DE SARANDY,5,AVA MAX - MILLION DOLLAR BABY,4
BRITNEY SPEARS,5,PURPLE DISCO MACHINE FEAT. EYE - DOPAMINE,4
