Artist,Times Played,Artist - Song,Times Played
MALIK HARRIS,16,DADDY YANKEE - CON CALMA,11
ZARA LARSSON,16,GLOCKENBACH - MAGIC MOMENT,10
YEARS,16,LOUD LUXURY - BODY,10
GEORGE MICHAEL,16,BRANDO - BODY,10
ELTON JOHN,15,CLOCKCLOCK - SOMEONE ELSE,10
KYLIE MINOGUE,15,MICHAEL PATRICK KELLY - WONDERS,10
AEROSMITH,15,PHIL COLLINS - YOU CAN'T HURRY LOVE,10
CYNDI LAUPER,15,P!NK - IRRELEVANT,10
LITTLE SIMZ,15,AVICII - HEY BROTHER,10
BURNA B,15,DOECHII - ANXIETY,10
ALPHAVILLE,15,CHRIS DE SARANDY - MAGIC MOMENT,10
MAX GIESINGER,14,RAKIM - WONDERS,10
KELLY CLARKSON,14,TAYLOR DAYNE - TELL IT TO MY HEART,10
OASIS,14,ALPHAVILLE - FOREVER YOUNG,10
DARIO G,14,ALESSIA CARA - SCARS TO YOUR BEAUTIFUL,10
SMALL,14,CHER - IF I COULD TURN BACK TIME,9
TALK TALK,14,EAGLE-EYE CHERRY - SAVE TONIGHT,9
ANASTACIA,14,CLOCKCLOCK - LOVE U AGAIN,9
SAVAGE GARDEN,14,LIL NAS X - THATS WHAT I WANT,9
SURVIVOR,14,SMALL - IKO IKO,9
SNOW,13,COLDPLAY - MY UNIVERSE,9
KENNY LOGGINS,13,BTS - MY UNIVERSE,9
ALICIA KEYS,13,KATY PERRY - WHEN I'M GONE,9
PET SHOP BOYS,13,P!NK - RUNAWAY,9
UB 40,13,P!NK - TRUSTFALL,9
RED HOT CHILI PEPPERS,13,AVA MAX - MILLION DOLLAR BABY,9
MR. BIG,13,ELTON JOHN - I'M STILL STANDING,9
PITBULL,13,CUTTING CREW - DIED IN YOUR ARMS,9
SHAKIRA,13,QUEEN - FRIENDS WILL BE FRIENDS,9
EURYTHMICS,13,KLINGANDE - JUBEL,9
WILL SMITH,12,MARK FORSTER - SOWIESO,9
ÄRZTE,12,IMAGINE DRAGONS - WHATEVER IT TAKES,9
THE SCRIPT,12,FLO RIDA - WHISTLE,9
STARSHIP,12,AVICII - WAITING FOR LOVE,9
SAM FELDT,12,ROBBIE WILLIAMS - LOVE MY LIFE,9
RAF,12,NICKY JAM - EL PERDÓN,9
MARQUESS,12,ENRIQUE IGLESI - EL PERDÓN,9
DR. ALBAN,12,SOFT CELL - TAINTED LOVE,9
ANDREAS BOURANI,12,GEORGE HARRISON - GOT MY MIND SET ON YOU,9
USHER,12,SAM FELDT - POST MALONE,9
MARK RONSON,12,RANI - POST MALONE,9
LUIS FONSI,12,JAX JONES - BREATHE,9
ENRIQUE IGLESIAS,11,INA WROLDSEN - BREATHE,9
RICKY MARTIN,11,OMI - HULA HOOP,9
THE BANGLES,11,JUSTIN WELLINGTON - IKO IKO,9
TLC,11,RAY PARKER JR - GHOSTBUSTERS,9
KUNGS,11,NICO - AM I WRONG,9
SANDRO CAVAZ,11,VINZ - AM I WRONG,9
LA BOUCHE,11,MIKE POSNER - I TOOK A PILL IN IBIZA (SEEB REMIX),9
SHAGGY,11,DURAN DURAN - ORDINARY WORLD,9
REGARD,11,DNCE - CAKE BY THE OCEAN,9
TIAG,11,KATE BUSH - RUNNING UP THAT HILL,9
CULTURE CLUB,11,ALESSO - WHEN I'M GONE,9
JAX JONES,11,DAVID GUETTA - CRAZY WHAT LOVE CAN DO,8
ANNE-MARIE,11,FELIX JAEHN - DO IT BETTER,8
JONAS BLUE,11,ZOE WEES - DO IT BETTER,8
GREEN DAY,11,NICO SANTOS - RAY OF LIGHT,8
ERIC PRYDZ,11,WEEZER - ISLAND IN THE SUN,8
DURAN DURAN,11,DEPECHE MODE - ENJOY THE SILENCE,8
CAMOUFLAGE,11,BOB MARLEY - BUFFALO SOLDIER,8
LOUD LUXURY,10,JOEL CORRY - HEAD & HEART,8
BRANDO,10,MNEK - HEAD & HEART,8
FOREIGNER,10,OASIS - WONDERWALL,8
DOECHII,10,PEDRO CAPÓ - CALMA (REMIX),8
CHRISTINA AGUILERA,10,FARRUKO - CALMA (REMIX),8
JAMES ARTHUR,10,TAL BACHMAN - SHE'S SO HIGH,8
CHRIS DE SARANDY,10,ALLE FARBEN - FADING,8
GIGI D'AGOSTINO,10,KAMRAD - I HOPE YOU END UP ALONE (WITH ME),8
TOTO,10,NIK KERSHAW - WOULDN'T IT BE GOOD,8
RAKIM,10,LEWIS CAPALDI - FORGET ME,8
LENNY KRAVITZ,10,THE SCRIPT - SUPERHEROES,8
TAYLOR DAYNE,10,ELLIE GOULDING - LIGHTS,8
JAY-Z,10,JAMES BLUNT - BONFIRE HEART,8
ALESSIA CARA,10,PHARRELL WILLIAMS - HAPPY,8
EAGLE-EYE CHERRY,9,RICK ASTLEY - NEVER GONNA GIVE YOU UP,8
JOEL CORRY,9,CHARLES - WOULD I LIE TO YOU,8
FARRUKO,9,EDDIE - WOULD I LIE TO YOU,8
BTS,9,LISA STANSFIELD - ALL AROUND THE WORLD,8
CUTTING CREW,9,NICKELBACK - AFTER THE RAIN,8
RICK ASTLEY,9,NICKELBACK - WHAT ARE YOU WAITING FOR,8
KLINGANDE,9,THE BANGLES - MANIC MONDAY,8
LISA STANSFIELD,9,TAYLOR SWIFT - I KNEW YOU WERE TROUBLE,8
DIE TOTEN HOSEN,9,BAKERMAT - ONE DAY (VANDAAG),8
ALANIS MORISSETTE,9,KYGO - FIRESTONE,8
THE KID LAROI,9,JAMES HYPE - MORE THAN FRIENDS,8
WHAM!,9,KELLI-LEIGH - MORE THAN FRIENDS,8
GEORGE EZRA,9,MICHAEL JACKSON - WHO IS IT,8
NICKY JAM,9,BILL MEDLEY - THE TIME OF MY LIFE,8
ENRIQUE IGLESI,9,JENNIFER WAR - THE TIME OF MY LIFE,8
MADCON,9,EL - CRAZY WHAT LOVE CAN DO,8
SOFT CELL,9,WHAM! - WAKE ME UP BEFORE YOU GO GO,8
DESTINY'S CHILD,9,ROCKWELL - SOMEBODY'S WATCHING ME,8
GEORGE HARRISON,9,BECKY HILL - CRAZY WHAT LOVE CAN DO,8
LIAM PAYNE,9,IMAGINE DRAGONS - ON TOP OF THE WORLD,8
RANI,9,ILIRA - FADING,8
BURNA BOY,9,AVICII - WITHOUT YOU,8
NO ANGELS,9,GINUWINE - PONY,8
A-HA,9,REAL LIFE - SEND ME AN ANGEL,8
INA WROLDSEN,9,DON HENLEY - THE BOYS OF SUMMER,8
BRITNEY SPEARS,9,SANDRO CAVAZZA - WITHOUT YOU,8
ELLE KING,9,BILLY JOEL - WE DIDN'T START THE FIRE,8
JUSTIN WELLINGTON,9,ONE REPUBLIC - COUNTING STARS,8
RAY PARKER JR,9,ONE REPUBLIC - LOVE RUNS OUT,8
NICO,9,MARIAH CAREY - WITHOUT YOU,8
VINZ,9,CHRISTINA AGUILERA - GENIE IN A BOTTLE,8
SANTANA,9,U 2 - I STILL HAVEN'T FOUND WHAT I'M LOOKING FOR,8
MIKE POSNER,9,UB 40 - KINGSTON TOWN,8
FINE YOUNG CANNIBALS,9,OFENBACH - HEAD SHOULDERS KNEES & TOES,8
DNCE,9,QUARTERHEAD - HEAD SHOULDERS KNEES & TOES,8
SASHA,9,N - HEAD SHOULDERS KNEES & TOES,8
KATE BUSH,9,DEEP BLUE SOMETHING - BREAKFAST AT TIFFANY'S,8
ALESSO,9,FLEETWOOD MAC - LITTLE LIES,8
MIKE,9,MR. BIG - WILD WORLD,8
THE MECHANICS,9,JONAS BLUE - FAST CAR,8
MACKLEMORE,9,ATC - AROUND THE WORLD,8
GRAHAM CANDY,8,GIGI D'AGOSTINO - LA PASSION,8
WEEZER,8,FINE YOUNG CANNIBALS - SHE DRIVES ME CRAZY,8
BRUCE SPRINGSTEEN,8,STATUS QUO - IN THE ARMY NOW,8
MNEK,8,SAVAGE GARDEN - TRULY MADLY DEEPLY,8
PEDRO CAPÓ,8,LENNY KRAVITZ - FLY AWAY,8
NATASHA BEDINGFIELD,8,DAKOTA - FAST CAR,8
TAL BACHMAN,8,JOHN FARNHAM - YOU'RE THE VOICE,8
TEARS FOR FEARS,8,SURVIVOR - EYE OF THE TIGER,8
AVRIL LAVIGNE,8,HADDAWAY - WHAT IS LOVE,8
PHARRELL WILLIAMS,8,DAVID GUETTA - I'M GOOD (BLUE),7
CHARLES,8,MARC COHN - WALKING IN MEMPHIS,7
EDDIE,8,PRINCE - THE MOST BEAUTIFUL GIRL IN THE WORLD,7
BAKERMAT,8,MATTHEW WILDER - BREAK MY STRIDE,7
JAMES HYPE,8,DEEPEND - WAITING FOR THE SUMMER,7
KELLI-LEIGH,8,GRAHAM CANDY - WAITING FOR THE SUMMER,7
BILL MEDLEY,8,LINKIN PARK - HEAVY,7
JENNIFER WAR,8,REA GARVEY - THE ONE,7
ROCKWELL,8,RAY DALTON - MANILA,7
BECKY HILL,8,ALVARO SOLER - MANILA,7
ILIRA,8,LEONY - FIRE,7
GINUWINE,8,CLOCKCLOCK - SORRY,7
MIKE OLDFIELD,8,FOREIGNER - I WANT TO KNOW WHAT LOVE IS,7
DONNA SUMMER,8,DARIO G - CARNIVAL DE PARIS,7
REAL LIFE,8,TWOCOLORS - LOVEFOOL,7
DON HENLEY,8,NEK - LAURA NON C'È,7
SANDRO CAVAZZA,8,RAG'N'BONE MAN - HUMAN,7
MARIAH CAREY,8,KENNY LOGGINS - FOOTLOOSE,7
QUARTERHEAD,8,MILEY CYRUS - FLOWERS,7
N,8,TEARS FOR FEARS - EVERYBODY WANTS TO RULE THE WORLD,7
DEEP BLUE SOMETHING,8,ANNA NAKLAB - SUPERGIRL,7
FLEETWOOD MAC,8,ALLE FARBEN - SUPERGIRL,7
DJ ANTOINE,8,HERBERT GRÖNEMEYER - MUSIK NUR WENN SIE LAUT IST,7
ATC,8,WHITESNAKE - HERE I GO AGAIN,7
N'SYNC,8,JUSTIN BIEBER - STAY,7
STATUS QUO,8,EVERYTHING BUT THE GIRL - MISSING,7
OLLY MURS,8,LOI - AM I ENOUGH,7
NEA,8,ÄRZTE - WESTERLAND,7
DAKOTA,8,SIDO - TAUSEND TATTOOS,7
FUGEES,8,KATY PERRY - CHAINED TO THE RHYTHM,7
JOHN FARNHAM,8,P!NK - WHAT ABOUT US,7
