Artist,Times Played,Artist - Song,Times Played
D.O.D SONNY FODERA,42,HUNTR - GOLDEN*,33
SHIMZA,42,EJAE - GOLDEN*,33
AR,42,AUDREY NUNA - GOLDEN*,33
CO,42,REI AMI - GOLDEN*,33
KASANGO,42,KPOP DEMON HUNTERS CAST X - GOLDEN*,33
WIZ KHALIFA,41,"KRAFTKLUB - WENN ICH TOT BIN, FANG ICH WIEDER AN",33
B.O.B,41,STICKLE - WUNDERSCHÖN,33
LAUV,41,YUNG SAINT PAUL - WUNDERSCHÖN,33
CAMRINWATSIN,41,TAYLOR SWIFT - IS IT OVER NOW? (TAYLOR'S VERSION) (FROM THE VAULT),32
ONE DIRECTION,41,BLACK EYED PEAS - ROCK THAT BODY,32
OLIVIA DEAN,40,DJO - BASIC BEING BASIC,32
WIZKID,40,NAUGHTY BOY - LA LA LA,31
RITON,40,SAM SMITH - LA LA LA,31
MILKY CHANCE,40,DNCE - CAKE BY THE OCEAN,31
GLASS ANIMALS,40,THE CREATOR TYLER - RING RING RING,31
CARLY RAE JEPSEN,39,VANCE JOY - RIPTIDE,30
MALIVE,39,FAST BOY - WAVE,30
THE CREATOR TYLER,39,TAIO CRUZ - BREAK YOUR HEART,30
DOJA CAT,39,TOPIC - CONTROL OF ME,30
IMANBEK,38,ADDISON RAE - DIET PEPSI,30
BYOR,38,SWEDISH HOUSE MAFIA - DON'T YOU WORRY CHILD,30
ROUTE 94,38,LUDACRIS - BREAK YOUR HEART,30
FIFTH HARMONY,38,ICONA POP - I LOVE IT,30
DJO,38,SEBASTIAN INGROSSO - A NEW DAY,30
DISCLOSURE,37,CÉLINE DION - A NEW DAY,30
TYLA,37,DAECOLM - CONTROL OF ME,30
BTS,37,RAF - WAVE,30
STROMAE,37,FUN - WE ARE YOUNG,30
SEEED,36,JANELLE MONAE - WE ARE YOUNG,30
DEMI LOVATO,36,AVICII - LEVELS,29
SIDO,36,RIHANNA - WE FOUND LOVE,29
DADDY YANKEE,36,SAM HARPER - WATERFALLS,29
JONAS BROTHERS,36,BOBBY HARVEY - WATERFALLS,29
YUNG SAINT PAUL,35,GLASS ANIMALS - HEAT WAVES,29
KAROL G,35,RUDIMENTAL - ALIBI,28
LANA DEL REY,35,TAYLOR SWIFT - CRUEL SUMMER,28
GREEEN,35,ELLA HENDERSON - ALIBI,28
HAYLEY WILLIAMS OF PARAMORE,34,SEAN PAUL - SHE DOESN'T MIND,28
LUDACRIS,34,TY DOLLA $IGN - LOCATION,28
ALPHAVILLE DAVID GUETTA,34,WIZ KHALIFA ZERB - LOCATION,28
21 SAVAGE,34,DAMIANO DAVID - BORN WITH A BROKEN HEART,28
KYLA,34,WET LEG - MANGETOUT,28
ANNE-MARIE,33,24KGOLDN - MOOD,28
HALSEY,33,IANN DIOR - MOOD,28
STICKLE,33,MANU CHAO - A ME MI PIACE,27
MEDUZA,32,CLOCKCLOCK - LOVE U AGAIN,27
KENDRICK LAMAR,32,SELENA GOMEZ - CALM DOWN,27
SHAKIRA,32,SABRINA CARPENTER - TASTE,27
THE KID LAROI,32,CARLY RAE JEPSEN - CALL ME MAYBE,27
FLORENCE + THE MACHINE,31,RIHANNA - DIAMONDS,27
1LIVE DJ SESSION,31,LMFAO - PARTY ROCK ANTHEM,27
NAUGHTY BOY,31,OLIVIA RODRIGO - VAMPIRE,27
DNCE,31,SIDO - BILDER IM KOPF,27
VANCE JOY,30,ALFA - A ME MI PIACE,27
JESSIE J,30,REGARD - RIDE IT,27
ICONA POP,30,REMA - CALM DOWN,27
MAU P,30,LEONY - REMEDY,26
FRED AGAIN,30,"SNOOP DOGG - YOUNG, WILD & FREE",26
SEBASTIAN INGROSSO,30,"WIZ KHALIFA - YOUNG, WILD & FREE",26
CÉLINE DION,30,"BRUNO MARS - YOUNG, WILD & FREE",26
RAF,30,CHRIS DE SARANDY - CYNICAL,26
FUN,30,NINA CHUBA - FATA MORGANA,26
JANELLE MONAE,30,JAMES HYPE - MORE THAN FRIENDS,26
TURNSTILE,30,JUSTIN TIMBERLAKE - CAN'T STOP THE FEELING!,26
