Artist,Times Played,Artist - Song,Times Played
GORILLAZ,11,BETTEROV - 17. JULI 1989,7
OEHL,11,BIIG PIIG - SWEET,7
MAJAN,11,KRAFTKLUB - SCHIEF IN JEDEM CHOR,7
GRENTPEREZ,11,PUDELDAME - YOYO,7
AITCH,10,GRETEL - FAR OUT,7
PANDA LUX,10,AMILLI - RAINCOATS,7
LOUPE,10,PAULA HARTMANN - ATLANTIS,7
JAY-Z,10,TRETTMANN - ATLANTIS,7
THE MARÍAS,10,DEINE COUSINE - KÖNIGIN VON DEUTSCHLAND,7
DAFT PUNK,10,THE NOTWIST - KONG,7
THE VACCINES,10,ERROR - DAS GLÜCK GEHÖRT VERSAGERN,7
ROBYN,10,SHELTER BOY - RAINCOATS,7
MOBY,10,WUNDERHORSE - THE ROPE,7
QUEENS OF THE STONE AGE,10,JASSIN - BITTE SEI VORSICHTIG,7
MAX RAD,10,BEACH BUNNY - CLUELESS,7
JAMIE XX,10,HAIM - RELATIONSHIPS,6
RIHANNA,10,OBONGJAYAR - JUST COOL,6
TKAY MAIDZA,10,MASTER PEACE - MUSIC SOUNDS BETTER WITH ME,6
RED HOT CHILI PEPPERS,10,ROYEL OTIS - MOODY,6
SURFACES,10,MØ - KEEP MØVING,6
MULAY,10,CLAIRO - SEXY TO SOMEONE,6
WIR SIND HELDEN,10,CLAIRO - ADD UP MY LOVE,6
WANDA,10,EDWIN ROSEN - SCHAU DIR ZU,6
WILHELMINE,10,ZARTMANN - WIR HABEN'S ÜBERLEBT,6
PIP BLOM,10,ZARTMANN - WUNDERSCHÖN,6
CLUESO,10,GOOD NEIGHBOURS - BLOOM,6
ERROR,10,YUKNO - LIEB DICH,6
MONTAIGNE,10,TAME IMPALA - END OF SUMMER,6
BLOND,10,ORLA GARTLAND - BACKSEAT DRIVER,6
BEATSTEAKS,10,JEREMIAS - EIN MENSCH,6
JULI,10,KITSCHKRIEG - BABY,6
TOM MISCH,10,"HINDS - HI, HOW ARE YOU",6
ROYAL BLOOD,10,SPRINTS - DESCARTES,6
DEICHKIND,10,YOUNG FRANCO - MUSIC SOUNDS BETTER WITH ME,6
FLYANA BOSS,10,FATONI - MENSCHEN,6
BON JOUR,10,JOLLE - ZU NICE,6
DIJON,10,YETUNDEY - VIEL ZU VIELE FEHLER,6
ENDZONE,10,PAULA HARTMANN - ULUDAG UND SORGEN,6
THE LINDA LINDAS,10,WILHELMINE - VERGLEICHE,6
WILLOW,10,BBNO$ - LIL' FREAK,6
ENNIO,10,BLOND - SO HOT,6
SOFI TUKKER,10,TRÄNEN - KOMM UND KÜSS MICH,6
JORDAN RAKEI,9,MOLA - MENSCHEN,6
ANNE-MARIE,9,ARZ - BABY,6
OBONGJAYAR,9,SYMBA - ULUDAG UND SORGEN,6
POM POM SQUAD,9,PANDA LUX - NIEMAND,5
NNEKA,9,SPARKLING - I FEEL SO HIGH,5
GRETEL,9,NINA CHUBA - FATA MORGANA,5
IDER,9,NINA CHUBA - FLIEGEN,5
WALE,9,NINA CHUBA - UNSICHER,5
EMINEM,9,GIRL ULTRA - TOMÁS,5
ROSE GRAY,9,CHROMEO - TOMÁS,5
KETTCAR,9,EMPRESS OF - TOMÁS,5
KINGS OF LEON,9,FRED AGAIN - MIKE - DESERT ISLAND DUVET,5
JARREAU VANDAL,9,LEONIDEN - NEVER NEVER,5
PARAMORE,9,DJANGO DJANGO - NO TIME,5
MALLRAT AND KITO,9,JACK PEÑATE - NO TIME,5
JAWNY,9,THE STREETS - MIKE - DESERT ISLAND DUVET,5
BUSH.IDA,9,THE STREETS - TROUBLED WATERS,5
POWFU,9,DERMOT KENNEDY - MIKE - DESERT ISLAND DUVET,5
ARCADE FIRE,9,ROSALÍA - TUYA,5
GOLDFRAPP,9,PEGGY GOU - NANANA,5
CHILDISH GAMBINO,9,"SEAFRET - SEE, I'M SORRY",5
DISCLOSURE,9,DISCLOSURE - YOU & ME - FLUME REMIX,5
CIGARETTES AFTER SEX,9,PINKPANTHERESS - CLOSE TO YOU,5
BALTHAZAR,9,ELIZA DOOLITTLE - YOU & ME - FLUME REMIX,5
ALUNA,9,PAROV STELAR - ALL NIGHT,5
COSBY,9,ALUNA - KILLING ME,5
FONTAINES D.C,9,BEN PEARCE - WHAT I MIGHT DO,5
RAZORLIGHT,8,TSHA - KILLING ME,5
NEUFUNDLAND,8,KAYTRAMINÉ - 4EVA,5
DIGITALISM,8,PHARRELL WILLIAMS - 4EVA,5
SZA,8,SCHMERZIS - PERLOU,5
DOLORES FOREVER,8,BENEE - SAD BOIII,4
VAMPIRE WEEKEND,8,49TH - SELF SABOTAGE,4
GENESIS OWUSU,8,MAIN - SELF SABOTAGE,4
EMPRESS OF,8,ROOSEVELT - AUTOMATIC,4
PAOLO NUTINI,8,TOTAL TOMMY - PLUS ONE,4
ALICIA KEYS,8,SHARKTANK - H-A-P-P-Y,4
SABRINA CARPENTER,8,KENYA GRACE - IT'S NOT FAIR,4
SPILL TAB,8,C'EST KARMA - STREET SIGNS,4
FEIST,8,DIE HÖCHSTE EISENBAHN - DIESES LEBEN,4
DRÉ SIX,8,BON IVER - EVERYTHING IS PEACEFUL LOVE,4
RAVYN LENAE,8,JUNGLE - CANDLE FLAME,4
D4VD,8,JUNGLE - I'VE BEEN IN LOVE,4
NILE RODGERS,8,SOHN - OBLIVION,4
MIA,8,SZA - SATURN,4
IBEYI,8,MASTER PEACE - THIS TIME,4
BILBAO,8,ALLI NEUMANN - NAVIGATOR,4
